小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
111,825,支,心開三支平,斯,息,移,,,,心開三蒸入,以開三支平,,,119,,息移反.十.,
112,850,支,初開三支平,差,楚,冝,,,,初開三魚上,疑開三B支平,,,120,,楚冝反.一.,楚冝反.又楚佳楚懈二反.一.
113,851,支,徹開三支平,摛,丑,知,,,,徹三尤上,知開三支平,,,121,,丑知反.五.,
114,858,支,明三A支平,彌,武,移,,,,明三C虞上,以開三支平,,,122,,武移反.八.,
115,871,支,清開三支平,雌,七,移,,,,清開三真入,以開三支平,,,123,,七移反.二.,
116,876,支,知開三支平,知,陟,移,,,,知開三蒸入,以開三支平,,,124,,陟移反.二.,
117,880,支,影開三B支平,漪,扵,離,,,,影開三C魚平,來開三支平,,,125,,扵離反.五.,
118,891,支,澄開三支平,馳,直,知,,,,澄開三蒸入,知開三支平,,,126,,直知反.六.,
119,904,支,心合三支平,眭,息,為,,,,心開三蒸入,云合三B支平,,,127,,姓.息為反.一.,
120,905,支,疑合三B支平,危,魚,為,,,,疑開三C魚平,云合三B支平,,,128,,魚為反.三.,
121,910,支,曉開三A支平,訑,香,支,,,,曉開三C陽平,章開三支平,,,129,,自多㒵.香支反.一.,自多皃.香支反.一.
122,912,支,昌開三支平,眵,叱,支,,,,昌開三真入,章開三支平,,,139,,目汁凝.叱支反.一.,
123,914,支,生開三支平,釃,所,冝,,,,生開三魚上,疑開三B支平,,,130,,下酒.所冝反.又山尓反.二.,下酒.所冝反.又山爾反.二.
124,920,支,生合三支平,䪎,山,垂,,,,生開二山平,常合三支平,,,131,,鞍韒.一曰𡸁㒵.山垂反.一.,鞌鞘.一曰垂皃.山垂反.一.
125,921,支,日合三支平,痿,人,垂,,,,日開三真平,常合三支平,,,132,,溼病.一曰兩𠯁不䏻相及.人垂反.又扵佳反.一.,濕病.一曰兩足不能相及.人垂反.又於佳反.一.
126,924,支,精合三支平,厜,姉,規,,,,精開三脂上,見合三A支平,,,133,,〻㕒山巓状.姉規反.三.,厜㕒山巓狀.姉規反.三.
127,929,支,見合三A支平,槻,居,隨,,,,見開三C魚平,邪合三支平,,,134,,木名堪作弓.居隨反.四.,
128,935,支,精合三支平,劑,觜,隨,,,,精合三支上,邪合三支平,,,135,,券.觜隨反.又在細反.一.,
