反切字,音韻地位
憑,並三B蒸平
憩,溪開三B祭去
憶,影開三C蒸入
懈,見開二佳去
應,影開三C蒸去
懴,初開二銜去
懷,匣合二皆平
戀,來合三仙去
戈,見合一歌平
戍,書合三虞去
成,常開三清平
我,疑開一歌上
或,匣合一登入
戰,章開三仙去
戴,端開一咍去
戸,匣一模上
房,並三C陽平
所,生開三魚上
扇,書開三仙去
才,從開一咍平
打,端開二庚上
扵,影開三C魚平
扶,並三C虞平
承,常開三蒸平
抑,影開三B蒸入
披,滂三B支平
抱,並一豪上
拔,並二山入
招,章開三宵平
拜,幫二皆去
括,見合一寒入
拱,見三C鍾上
持,澄開三之平
挺,定開四青上
捶,章合三支上
掃,心開一豪上
掌,章開三陽上
接,精開三鹽入
掾,以合三仙去
揔,精一東上
損,心合一魂上
撥,幫一寒入
撫,滂三C虞上
撿,見開三B鹽上
擊,見開四青入
據,見開三C魚去
攜,匣合四齊平
攝,書開三鹽入
支,章開三支平
改,見開一咍上
放,幫三C陽去
政,章開三清去
故,見一模去
救,見三C尤去
教,見開二肴去
敢,見開一談上
敬,見開三B庚去
整,章開三清上
敷,滂三C虞平
數,生合三虞上
文,明三C文平
斗,端一侯上
斤,見開三C殷平
斬,莊開二咸上
斯,心開三支平
方,幫三C陽平
施,書開三支平
旣,見開三C微去
日,日開三真入
旦,端開一寒去
旨,章開三脂上
早,精開一豪上
旬,邪合三真平
旱,匣開一寒上
昆,見合一魂平
昉,幫三C陽上
昌,昌開三陽平
昔,心開三清入
昞,幫三B庚上
映,影開三B庚去
春,昌合三真平
昨,從開一唐入
昭,章開三宵平
是,常開三支上
時,常開三之平
晃,匣合一唐上
晉,精開三真去
晏,影開二刪去
晧,匣開一豪上
晩,明三C元上
普,滂一模上
景,見開三B庚上
智,知開三支去
暗,影開一覃去
暨,羣開三B脂去
暫,從開一談去
暮,明一模去
曜,以開三宵去
曠,溪合一唐去
曲,溪三C鍾入
曷,匣開一寒入
書,書開三魚平
曹,從開一豪平
曾,精開一登平
會,匣合一泰去
月,疑合三C元入
有,云三C尤上
朕,澄開三侵上
朗,來開一唐上
望,明三C陽平
朝,知開三宵平
木,明一東入
未,明三C微去
末,明一寒入
朱,章合三虞平
李,來開三之上
杏,匣開二庚上
杜,定一模上
杯,幫一灰平
板,幫二刪上
枕,章開三侵上
林,來開三侵平
果,見合一歌上
枯,溪一模平
柄,幫三B庚去
染,日開三鹽上
柳,來三尤上
柴,崇開二佳平
栖,心開四齊平
栗,來開三真入
核,匣開二耕入
根,見開一痕平
格,見開二庚入
桂,見合四齊去
案,影開一寒去
桑,心開一唐平
梗,見開二庚上
梵,並三C凡去
棘,見開三C蒸入
植,常開三蒸入
楚,初開三魚上
業,疑開三C嚴入
楷,溪開二皆上
榮,云合三B庚平
模,明一模平
横,匣合二庚平
樹,常合三虞去
機,見開三C微平
檻,匣開二銜上
櫛,莊開三臻入
權,羣合三B仙平
欠,溪開三C嚴去
欣,曉開三C殷平
欲,以三鍾入
歇,曉開三C元入
歌,見開一歌平
止,章開三之上
正,章開三清去
此,清開三支上
步,並一模去
武,明三C虞上
歳,心合三祭去
歷,來開四青入
歸,見合三C微平
殄,定開四先上
殊,常合三虞平
殞,云合三B真上
段,定合一寒去
毀,曉合三B支上
毒,定一冬入
毗,並三A脂平
毛,明一豪平
氏,常開三支上
民,明三A真平
氓,明二耕平
氣,溪開三C微去
水,書合三脂上
永,云合三B庚上
求,羣三C尤平
汝,日開三魚上
江,見二江平
池,澄開三支平
決,見合四先入
沃,影一冬入
沓,定開一覃入
没,明一魂入
河,匣開一歌平
沸,幫三C微去
治,澄開三之平
沼,章開三宵上
況,曉合三C陽去
泉,從合三仙平
法,幫三C凡入
泛,滂三C凡去
波,幫一歌平
注,章合三虞去
泫,匣合四先上
洛,來開一唐入
洧,云合三B脂上
活,匣合一寒入
洽,匣開二咸入
流,來三尤平
浩,匣開一豪上
浪,來開一唐去
浮,並三C尤平
海,曉開一咍上
涉,常開三鹽入
淄,莊開三之平
淫,以開三侵平
淮,匣合二皆平
深,書開三侵平
淹,影開三B鹽平
淺,清開三仙上
減,見開二咸上
渠,羣開三C魚平
測,初開三蒸入
渾,匣合一魂平
湯,透開一唐平
溝,見一侯平
滂,滂一唐平
滅,明三A仙入
滑,匣合二山入
滓,莊開三之上
滕,定開一登平
滯,澄開三祭去
滿,明一寒上
演,以開三仙上
漦,俟開三之平
漫,明一寒去
漸,從開三鹽上
潁,以合三清上
潘,滂一寒平
澗,見開二刪去
激,見開四青入
濫,來開一談去
火,曉合一歌上
灼,章開三陽入
炙,章開三清入
為,云合三B支平
烏,影一模平
焉,影開三B仙平
無,明三C虞平
焦,精開三宵平
焮,曉開三C殷去
然,日開三仙平
照,章開三宵去
煩,並三C元平
熱,日開三仙入
營,以合三清平
燭,章三鍾入
爇,日合三仙入
爍,書開三陽入
爵,精開三陽入
牙,疑開二麻平
牛,疑三C尤平
物,明三C文入
特,定開一登入
犬,溪合四先上
状,崇開三陽去
狂,羣合三C陽平
狄,定開四青入
狎,匣開二銜入
狶,曉開三C微上
猛,明二庚上
猥,影合一灰上
猪,知開三魚平
獲,匣合二耕入
玃,見合三C陽入
玄,匣合四先平
玉,疑三C鍾入
王,云合三C陽平
玦,見合四先入
玩,疑合一寒去
玷,端開四添上
珎,知開三真平
班,幫二刪平
理,來開三之上
琮,從一冬平
琰,以開三鹽上
瑒,澄開二庚上
瑞,常合三支去
瑟,生開三臻入
瓜,見合二麻平
瓦,疑合二麻上
甑,精開三蒸去
甘,見開一談平
甚,常開三侵上
甜,定開四添平
用,以三鍾去
甫,幫三C虞上
田,定開四先平
由,以三尤平
甲,見開二銜入
男,泥開一覃平
界,見開二皆去
畏,影合三C微去
略,來開三陽入
當,端開一唐平
疾,從開三真入
病,並三B庚去
痕,匣開一痕平
癸,見合三A脂上
登,端開一登平
發,幫三C元入
白,並二庚入
百,幫二庚入
皆,見開二皆平
皇,匣合一唐平
皎,見開四蕭上
皮,並三B支平
盆,並一魂平
盈,以開三清平
益,影開三A清入
盍,匣開一談入
盖,見開一泰去
盛,常開三清去
盡,從開三真上
監,見開二銜平
盧,來一模平
目,明三C東入
盲,明二庚平
直,澄開三蒸入
相,心開三陽平
眉,明三B脂平
真,章開三真平
眷,見合三B仙去
睡,常合三支去
瞎,曉開二刪入
瞰,溪開一談去
矜,見開三C蒸平
知,知開三支平
矩,見合三C虞上
石,常開三清入
碎,心合一灰去
礙,疑開一咍去
礼,來開四齊上
祐,云三C尤去
祖,精一模上
神,船開三真平
祭,精開三祭去
禁,見開三B侵去
禫,定開一覃上
禾,匣合一歌平
秀,心三尤去
私,心開三脂平
秋,清三尤平
秏,曉開一豪去
秘,幫三B脂去
秦,從開三真平
移,以開三支平
稈,見開一寒上
稔,日開三侵上
稜,來開一登平
積,精開三清入
穢,影合三C廢去
穴,匣合四先入
空,溪一東平
窆,幫三B鹽去
窺,溪合三A支平
立,來開三侵入
竒,羣開三B支平
章,章開三陽平
竪,常合三虞上
竭,羣開三B仙入
端,端合一寒平
竹,知三東入
笑,心開三宵去
符,並三C虞平
筆,幫三B真入
等,端開一登上
答,端開一覃入
筠,云合三B真平
筭,心合一寒去
箇,見開一歌去
管,見合一寒上
箭,精開三仙去
篆,澄合三仙上
篋,溪開四添入
篤,端一冬入
篾,明四先入
簟,定開四添上
簡,見開二山上
簪,莊開三侵平
籠,來一東平
米,明四齊上
粉,幫三C文上
粲,清開一寒去
精,精開三清平
糺,見開三A幽上
紀,見開三C之上
約,影開三C陽入
紅,匣一東平
紆,影合三C虞平
純,常合三真平
紙,章開三支上
素,心一模去
紫,精開三支上
累,來合三支上
細,心開四齊去
紹,常開三宵上
紺,見開一覃去
結,見開四先入
絞,見開二肴上
絢,曉合四先去
統,透一冬去
絲,心開三之平
絶,從合三仙入
絹,見合三A仙去
絺,徹開三脂平
綏,心合三脂平
經,見開四青平
維,以合三脂平
綰,影合二刪上
綺,溪開三B支上
線,心開三仙去
緬,明三A仙上
練,來開四先去
緺,見合二佳平
縁,以合三仙平
縛,並三C陽入
縣,匣合四先去
縷,來合三虞上
繢,匣合一灰去
纂,精合一寒上
罪,從合一灰上
置,知開三之去
署,常開三魚去
罽,見開三B祭去
羈,見開三B支平
羊,以開三陽平
羌,溪開三C陽平
美,明三B脂上
義,疑開三B支去
羲,曉開三B支平
羸,來合三支平
羽,云合三C虞上
翠,清合三脂去
翼,以開三蒸入
老,來開一豪上
者,章開三麻上
而,日開三之平
耕,見開二耕平
耳,日開三之上
耿,見開二耕上
聊,來開四蕭平
聘,滂三A清去
聚,從合三虞上
聲,書開三清平
職,章開三蒸入
聿,以合三真入
肌,見開三B脂平
肖,心開三宵去
肥,並三C微平
肯,溪開一登上
肱,見合一登平
育,以三東入
肴,匣開二肴平
肺,滂三C廢去
胃,云合三C微去
背,幫一灰去
胝,知開三脂平
胡,匣一模平
胥,心開三魚平
脂,章開三脂平
脣,船合三真平
膎,匣開二佳平
膳,常開三仙去
